Scaffold	Length	GC	Depth	AltAllels
Contig_1_2911.9_Circ 	 10011.0 	 0.3529117970232744 	 2911.9 	 0
Contig_2_577.122 	 42694.0 	 0.4372745584859699 	 577.122 	 0
Contig_3_499.817 	 2819.0 	 0.3788577509755232 	 499.817 	 0
Contig_4_598.938 	 8718.0 	 0.45962376691901813 	 598.938 	 0
Contig_5_503.636 	 186346.0 	 0.4171594775310444 	 503.636 	 0
Contig_6_486.993 	 43161.0 	 0.43133847686568894 	 486.993 	 0
Contig_7_2597.61 	 1625.0 	 0.5101538461538462 	 2597.61 	 2
Contig_8_675.809 	 114875.0 	 0.43430685527747553 	 675.809 	 0
Contig_9_2177.54 	 6891.0 	 0.4109708315193731 	 2177.54 	 2
Contig_10_551.694 	 90588.0 	 0.4189958934958273 	 551.694 	 1
Contig_11_1877.53 	 22347.0 	 0.36908757327605496 	 1877.53 	 0
Contig_12_2105.19 	 751.0 	 0.30758988015978694 	 2105.19 	 0
Contig_13_620.507 	 63740.0 	 0.40459679949796046 	 620.507 	 0
Contig_14_626.508 	 127980.0 	 0.4200890764181903 	 626.508 	 0
Contig_15_3227.74 	 401.0 	 0.3491271820448878 	 3227.74 	 0
Contig_16_3953.4 	 656.0 	 0.3673780487804878 	 3953.4 	 1
Contig_17_619.56 	 28218.0 	 0.44021546530583316 	 619.56 	 0
Contig_18_4189.91 	 901.0 	 0.4872364039955605 	 4189.91 	 0
Contig_19_1308.11 	 11506.0 	 0.40491917260559707 	 1308.11 	 0
Contig_20_4433.85 	 410.0 	 0.4195121951219512 	 4433.85 	 0
Contig_21_603.212 	 158488.0 	 0.4263982131139266 	 603.212 	 0
Contig_22_1130.21 	 1500.0 	 0.37666666666666665 	 1130.21 	 0
Contig_23_1799.34 	 1502.0 	 0.36750998668442075 	 1799.34 	 0
Contig_24_484.356 	 338929.0 	 0.41503382714373804 	 484.356 	 0
Contig_25_2653.01 	 3138.0 	 0.5031867431485022 	 2653.01 	 1
Contig_26_684.097 	 11216.0 	 0.4220756062767475 	 684.097 	 0
Contig_27_637.047 	 28042.0 	 0.4271449967905285 	 637.047 	 0
Contig_28_1266.54 	 13488.0 	 0.3962040332147094 	 1266.54 	 2
Contig_29_1164.96 	 552.0 	 0.3423913043478261 	 1164.96 	 0
Contig_30_639.707 	 2757.0 	 0.3939064200217628 	 639.707 	 0
Contig_31_656.684 	 94084.0 	 0.4270545470005527 	 656.684 	 0
Contig_32_526.069 	 79884.0 	 0.3979395122928246 	 526.069 	 12
Contig_33_2106.39 	 11906.0 	 0.39862254325550145 	 2106.39 	 0
Contig_34_1860.87 	 18342.0 	 0.4227456111656308 	 1860.87 	 1
Contig_35_478.204 	 34402.0 	 0.4080286029881984 	 478.204 	 0
Contig_36_487.466 	 9498.0 	 0.4021899347230996 	 487.466 	 0
Contig_37_699.925 	 36167.0 	 0.41554455719302125 	 699.925 	 0
Contig_38_961.098 	 1244.0 	 0.31270096463022506 	 961.098 	 2
Contig_39_2455.88 	 462.0 	 0.41125541125541126 	 2455.88 	 0
Contig_40_2344.54 	 1086.0 	 0.39042357274401474 	 2344.54 	 0
Contig_41_574.683 	 225300.0 	 0.4318641810918775 	 574.683 	 0
Contig_42_687.694 	 97285.0 	 0.4441075191447808 	 687.694 	 0
Contig_43_2113.63 	 33571.0 	 0.39659229692293946 	 2113.63 	 3
Contig_44_524.71 	 102851.0 	 0.4280075060038308 	 524.71 	 0
Contig_45_2650.08 	 1771.0 	 0.38509316770186336 	 2650.08 	 2
